date, pm25, pm10, o3, no2, so2, co
2020/1/11, 124, 76, 24, 13, 5, 12
2020/1/12, 127, 74, 19, 12, 3, 12
2020/1/13, 125, 69, 22, 10, 4, 11
2020/1/14, 109, 69, 25, 9, 5, 9
2020/1/15, 119, 75, 25, 7, 3, 8
2020/1/16, 143, 76, 28, 10, 4, 10
2020/1/17, 135, 77, 25, 12, 4, 9
2020/1/18, 141, 61, 30, 10, 4, 7
2020/1/19, 106, 79, 26, 14, 4, 15
2020/1/20, 128, 80, 25, 14, 4, 13
2020/1/21, 127, 54, 32, 11, 4, 9
2020/1/22, 88, 65, 28, 11, 9, 12
2020/1/23, 103, 81, 28, 15, 7, 15
2020/1/24, 115, 84, 30, 15, 6, 17
2020/1/25, 118, 84, 25, 14, 4, 14
2020/1/26, 121, 72, 18, 12, 3, 10
2020/1/27, 103, 63, 28, 9, 3, 8
2020/1/28, 83, 67, 28, 10, 5, 11
2020/1/29, 91, 70, 24, 13, 7, 13
2020/1/30, 100, 63, 37, 13, 4, 10
2020/1/31, 96, 67, 24, 17, 4, 14
2019/10/1, 99, 83, 11, 20, 5, 11
2019/10/2, 129, 72, 20, 13, 3, 9
2019/10/3, 133, 71, 22, 11, 3, 9
2019/10/4, 139, 63, 24, 8, 3, 8
2019/10/5, 124, 61, 12, 7, 4, 8
2019/10/6, 112, 55, 15, 7, 4, 9
2019/10/7, 118, 60, 17, 7, 4, 7
2019/10/8, 122, 64, 10, 9, 4, 8
2019/10/9, 130, 54, 17, 6, 3, 4
2019/10/10, 102, 53, 15, 7, 4, 6
2019/10/11, 107, 57, 15, 6, 4, 5
2019/10/12, 118, 57, 15, 6, 4, 5
2019/10/13, 119, 61, 14, 6, 4, 7
2019/10/14, 125, 68, 14, 5, 4, 8
2019/10/15, 129, 73, 12, 5, 4, 8
2019/10/16, 105, 75, 22, 8, 4, 8
2019/10/17, 117, 88, 15, 5, 6, 8
2019/10/18, 117, 85, 15, 5, 4, 7
2019/10/19, 148, 102, 21, 14, 4, 8
2019/10/20, 153, 103, 15, 10, 4, 10
2019/10/21, 136, 94, 17, 8, 4, 11
2019/10/22, 121, 102, 15, 18, 4, 15
2019/10/23, 122, 108, 11, 19, 4, 17
2019/10/24, 144, 105, 13, 26, 4, 16
2019/10/25, 144, 104, 14, 23, 5, 10
2019/10/26, 143, 111, 13, 20, 4, 13
2019/10/27, 156, 147, 19, 9, 5, 10
2019/10/28, 202, 97, 22, 9, 6, 11
2019/10/29, 155, 73, 18, 10, 7, 14
2019/10/30, 113, 81, 23, 13, 6, 13
2019/10/31, 135, 88, 25, 12, 6, 15
2019/11/1, 140, 85, 24, 11, 6, 12
2019/11/2, 129, 49, 21, 8, 6, 10
2019/11/3, 75, 73, 29, 10, 6, 13
2019/11/4, 112, 86, 25, 13, 5, 14
2019/11/5, 139, 72, 16, 15, 3, 10
2019/11/6, 116, 65, 12, 14, 2, 7
2019/11/7, 126, 68, 19, 13, 1, 8
2019/11/8, 124, 77, 29, 6, 2, 6
2019/11/9, 148, 97, 35, 16, 4, 9
2019/11/10, 164, 96, 26, 19, 4, 13
2019/11/11, 162, 82, 23, 11, 4, 10
2019/11/12, 148, 74, 21, 13, 4, 11
2019/11/13, 125, 80, 26, 11, 4, 9
2019/11/14, 145, 74, 30, 9, 5, 10
2019/11/15, 122, 112, 30, 11, 4, 13
2019/11/16, 174, 95, 30, 7, 4, 10
2019/11/17, 158, 80, 33, 11, 7, 10
2019/11/18, 138, 75, 14, 9, 4, 12
2019/11/19, 134, 75, 19, 7, 4, 12
2019/11/20, 146, 81, 21, 9, 4, 13
2019/11/21, 141, 73, 23, 7, 4, 13
2019/11/22, 115, 78, 27, 7, 4, 10
2019/11/23, 117, 88, 29, 10, 4, 11
2019/11/24, 135, 93, 28, 10, 6, 14
2019/11/25, 141, 98, 24, 11, 4, 15
2019/11/26, 151, 84, 24, 12, 5, 9
2019/11/27, 139, 78, 23, 10, 5, 8
2019/11/28, 132, 76, 28, 11, 5, 7
2019/11/29, 137, 77, 28, 10, 5, 6
2019/11/30, 148, 75, 31, 11, 5, 6
2019/12/1, 141, 77, 24, 14, 4, 9
2019/12/2, 148, 77, 20, 16, 5, 13
2019/12/3, 117, 83, 21, 10, 4, 13
2019/12/4, 123, 78, 19, 7, 4, 9
2019/12/5, 126, 68, 22, 8, 5, 8
2019/12/6, 109, 83, 37, 8, 4, 10
2019/12/7, 145, 101, 38, 8, 3, 12
2019/12/8, 164, 102, 34, 9, 4, 13
2019/12/9, 162, 97, 36, 10, 7, 14
2019/12/10, 155, 90, 27, 8, 4, 15
2019/12/11, 152, 79, 25, 7, 4, 11
2019/12/12, 137, 46, 24, 5, 4, 9
2019/12/13, 73, 55, 20, 5, 4, 9
2019/12/14, 98, 44, 28, 5, 5, 8
2019/12/15, 74, 53, 27, 6, 5, 10
2019/12/16, 97, 53, 35, 8, 8, 10
2019/12/17, 95, 71, 24, 11, 7, 14
