date, pm25, pm10, o3, no2, so2, co
2018/11/21, 159, 121, , 9, 5, 9
2018/11/22, 166, 110, , 8, 5, 15
2018/11/23, 150, 122, , 7, 6, 13
2018/11/24, 162, 117, , 8, 5, 13
2018/11/25, 125, 140, , 9, 7, 18
2018/11/26, 160, 120, , 9, 6, 16
2018/11/27, 142, 115, , 10, 7, 13
2018/11/28, 146, 117, 30, 2, 12, 27
2018/11/29, 153, 128, 28, 14, 3, 14
2018/11/30, 167, 124, 26, 20, 3, 15
2018/12/1, 149, 92, 35, 18, 3, 17
2018/12/2, 124, 97, 28, 18, 5, 18
2018/12/3, 131, 105, 28, 19, 5, 13
2018/12/4, 140, 97, 3, 17, 2, 9
2018/12/5, 150, 167, 3, 17, 4, 50
2018/12/6, 167, 89, 40, 12, 4, 13
2018/12/7, 143, 92, 32, 12, 4, 15
2018/12/8, 130, 91, 32, 13, 5, 12
2018/12/9, 127, 109, 40, 13, 8, 23
2018/12/10, 133, 108, 13, 10, 2, 10
2018/12/11, 130, , , , , 
2018/12/15, 126, 88, 23, 20, 6, 8
2018/12/16, 132, 88, 25, 23, 7, 8
2018/12/17, 128, 128, 31, 25, 9, 14
2018/12/18, 164, 161, 22, 28, 5, 22
2018/12/19, 167, 161, 27, 10, 6, 19
2018/12/20, 168, 148, 28, 9, 6, 19
2018/12/21, 156, 139, 24, 9, 6, 16
2018/12/22, 157, 124, 28, 9, 5, 13
2018/12/23, 151, 130, 30, 11, 5, 17
2018/12/24, 159, 123, 32, 10, 6, 14
2018/12/25, 157, 111, 31, 11, 6, 12
2018/12/26, 150, 94, 21, 11, 3, 9
2018/12/27, 120, 116, 23, 11, 7, 14
2018/12/28, 126, 113, 21, 12, 5, 13
2018/12/29, 140, 135, 27, 13, 8, 16
2018/12/30, 150, , , , , 
2018/7/1, 101, 73, , 10, 7, 8
2018/7/2, 102, 61, , 12, 6, 8
2018/7/3, 101, 69, , 9, 4, 8
2018/7/4, 105, 106, , 11, 5, 30
2018/7/5, 104, 124, , 10, 5, 7
2018/7/6, 119, 104, , 9, 5, 8
2018/7/7, 136, 99, , 10, 5, 8
2018/7/8, 136, 107, , 9, 5, 8
2018/7/9, 140, 57, , 8, 5, 8
2018/7/10, 113, 90, , 7, 4, 5
2018/7/11, 120, 95, , 7, 5, 8
2018/7/12, 125, 75, , 9, 4, 9
2018/7/13, 137, 68, , 8, 4, 7
2018/7/14, 110, 41, , 7, 3, 4
2018/7/15, 94, 68, , 7, 4, 9
2018/7/16, 119, 75, , 10, 11, 14
2018/7/17, 127, 51, , 8, 2, 6
2018/7/18, 88, 38, , 7, 2, 7
2018/7/19, 91, 56, , 7, 3, 6
2018/7/20, 89, 71, , 6, 3, 7
2018/7/21, 92, 91, , 6, 3, 4
2018/7/22, 97, 80, , 6, 3, 6
2018/7/23, 106, 73, , 6, 3, 7
2018/7/24, 110, 80, , 5, 4, 6
2018/7/25, 100, 103, , 9, 3, 6
2018/7/26, 144, 70, , 6, 4, 7
2018/7/27, 95, 68, , 6, 3, 6
2018/7/28, 116, 70, , 5, 3, 4
2018/7/29, 130, 94, , 8, 6, 9
2018/7/30, 129, 111, 23, 8, 2, 30
2018/7/31, 127, 112, , 11, 3, 6
2018/8/1, 144, 87, , 11, 3, 5
2018/8/2, 134, 62, , 11, 5, 5
2018/8/3, 117, 60, , 10, 5, 5
2018/8/4, 109, 63, , 10, 3, 4
2018/8/5, 120, 79, , 12, 5, 8
2018/8/6, 111, 58, , 14, 5, 9
2018/8/7, 106, 53, , 14, 6, 5
2018/8/8, 100, 49, , 15, 7, 9
2018/8/9, 101, 75, , 10, 4, 6
2018/8/10, 139, 75, , 8, 4, 6
2018/8/11, 128, 57, , 8, 4, 5
2018/8/12, 83, 68, , 7, 4, 7
2018/8/13, 113, 97, , 7, 5, 6
2018/8/14, 135, 100, , 6, 5, 5
2018/8/15, 140, 73, , 6, 5, 4
2018/8/16, 116, 34, , 5, 4, 6
2018/8/17, 55, 44, , 5, 3, 7
2018/8/18, 73, 45, , 5, 3, 7
2018/8/19, 61, 54, , 5, 3, 7
2018/8/20, 82, 86, , 5, 4, 6
2018/8/21, 67, 62, , 4, 3, 5
2018/8/22, 83, 70, , 4, 4, 7
2018/8/23, 91, 63, , 4, 3, 6
2018/8/24, 126, 60, , 4, 2, 6
2018/8/25, 100, 57, , 3, 3, 4
2018/8/26, 126, 72, , 3, 2, 5
2018/8/27, 113, 60, , 4, 6, 10
2018/8/28, 76, 77, , 10, 3, 7
2018/8/29, 123, 75, , 11, 3, 7
2018/8/30, 90, 58, , 10, 3, 6
2018/8/31, 77, 59, , 6, 3, 6
2018/9/1, 69, 57, , 5, 3, 4
2018/9/2, 103, 56, , 5, 3, 5
2018/9/3, 232, 41, , 5, 3, 6
2018/9/4, 251, 40, , 6, 3, 10
2018/9/5, 85, 52, , 11, 2, 7
2018/9/6, 88, 48, , 12, 3, 10
2018/9/7, 141, 46, , 11, 2, 9
2018/9/8, 73, 40, , 13, 3, 8
2018/9/9, 76, 44, , 11, 4, 9
2018/9/10, 90, 53, , 9, 3, 12
2018/9/11, 80, 57, , 10, 3, 8
2018/9/12, 80, 55, , 8, 2, 10
2018/9/13, 83, 53, , 8, 2, 9
2018/9/14, 75, 55, , 9, 2, 11
2018/9/15, 81, 57, , 9, 2, 7
2018/9/16, 89, 54, , 9, 1, 9
2018/9/17, 88, 59, , 9, 3, 8
2018/9/18, 97, 56, , 9, 2, 9
2018/9/19, 91, 66, , 8, 3, 8
2018/9/20, 100, 72, , 9, 2, 8
2018/9/21, 104, 35, , 5, 3, 5
2018/9/22, 59, 19, , 7, 2, 9
2018/9/23, 50, 55, , 9, 2, 12
2018/9/24, 89, 80, , 9, 9, 14
2018/9/25, 129, 73, , 12, 2, 11
2018/9/26, 108, 65, , 11, 2, 11
2018/9/27, 96, 71, , 11, 2, 10
2018/9/28, 104, 68, , 7, 8, 10
2018/9/29, 106, 69, , 4, 1, 9
2018/9/30, 96, 83, , 6, 2, 11
2018/4/1, 150, 78, , 15, 5, 10
2018/4/2, 144, 68, , 14, 4, 10
2018/4/3, 123, 72, , 11, 5, 10
2018/4/4, 122, 90, , 11, 9, 11
2018/4/5, 133, 92, , 12, 5, 10
2018/4/6, 152, 103, , 11, 5, 10
2018/4/7, 127, , , , , 
2018/4/10, 126, 106, , 15, 8, 8
2018/4/11, 147, 103, , 15, 6, 14
2018/4/12, 151, 98, , 14, 6, 10
2018/4/13, 129, 91, , 13, 3, 10
2018/4/14, 106, 102, , 13, 4, 7
2018/4/15, 132, 111, , 11, 3, 12
2018/4/16, 140, 103, , 11, 4, 12
2018/4/17, 293, 110, , 15, 4, 11
2018/4/18, 135, 113, , 13, 5, 10
2018/4/19, 156, 124, , 8, 4, 9
2018/4/20, 142, 122, , 11, 5, 9
2018/4/21, 156, 117, , 12, 6, 9
2018/4/22, 156, 110, , 15, 6, 12
2018/4/23, 148, 109, , 16, 5, 16
2018/4/24, 142, 104, , 8, 6, 12
2018/4/25, 144, 114, , 7, 4, 11
2018/4/26, 158, 116, , 7, 5, 11
2018/4/27, 162, 125, , 7, 5, 9
2018/4/28, 163, 135, , 7, 4, 9
2018/4/29, 166, 243, , 8, 4, 9
2018/4/30, 161, 109, , 8, 3, 11
2018/5/1, 155, 114, , 10, 5, 9
2018/5/2, 142, 103, , 12, 4, 13
2018/5/3, 155, 123, , 13, 6, 13
2018/5/4, 155, 137, , 11, 8, 10
2018/5/5, 155, 88, , 10, 4, 9
2018/5/6, 149, 108, , 9, 5, 10
2018/5/7, 157, , , 17, 1, 10
2018/5/9, 157, 79, , 12, 6, 12
2018/5/10, 135, 68, , 13, 7, 12
2018/5/11, 143, , , , , 
2018/5/15, 174, 150, , 11, 7, 15
2018/5/16, 160, 132, , 11, 9, 16
2018/5/17, 158, 145, , 12, 6, 9
2018/5/18, 160, 147, , 12, 8, 13
2018/5/19, 168, 146, , 13, 2, 7
2018/5/20, 164, 108, , 14, 9, 13
2018/5/21, 156, 80, , 12, 7, 11
2018/5/22, 133, 153, , 14, 4, 8
2018/5/23, 206, 71, , 10, 7, 11
2018/5/24, 122, 71, , 8, 5, 9
2018/5/25, 99, 80, , 13, 5, 8
2018/5/26, 116, 81, , 13, 7, 9
2018/5/27, 125, 82, , 15, 10, 11
2018/5/28, 116, 71, , 7, 8, 10
2018/5/29, 91, 90, , 7, 11, 11
2018/5/30, 121, 95, , 9, 9, 12
2018/5/31, 126, 77, , 10, 9, 9
2018/6/1, 128, 85, , 11, 10, 12
2018/6/2, 117, 54, , 9, 10, 9
2018/6/3, 130, 47, , 10, 10, 10
2018/6/4, 110, 56, , 11, 9, 9
2018/6/5, 118, 66, , 10, 10, 8
2018/6/6, 124, 70, , 9, 11, 10
2018/6/7, 102, 103, , 10, 13, 20
2018/6/8, 113, 76, , 14, 2, 6
2018/6/9, 145, 74, , 10, 2, 5
2018/6/10, 135, 86, , 10, 3, 5
2018/6/11, 146, 117, , 9, 6, 6
2018/6/12, 143, 121, , 8, 6, 6
2018/6/13, 149, 155, , 7, 5, 5
2018/6/14, 148, 85, , 11, 5, 6
2018/6/15, 126, 77, , 13, 4, 6
2018/6/16, 123, 63, , 11, 5, 5
2018/6/17, 118, 77, , 12, 9, 15
2018/6/18, 120, 71, , 18, 2, 8
2018/6/19, 132, 71, , 18, 4, 8
2018/6/20, 140, 75, , 25, 10, 11
2018/6/21, 158, 68, , 19, 10, 10
2018/6/22, 141, 64, , 18, 9, 7
2018/6/23, 131, 58, , 17, 9, 7
2018/6/24, 127, 55, , 20, 8, 9
2018/6/25, 106, 51, , 8, 7, 10
2018/6/26, 87, 61, , 11, 7, 8
2018/6/27, 107, 68, , 10, 7, 10
2018/6/28, 134, 65, , 11, 7, 9
2018/6/29, 108, 92, , 11, 7, 8
2018/6/30, 134, 78, , 10, 7, 6
2018/1/21, 214, 85, 30, 5, 5, 14
2018/1/22, 147, 91, 27, 4, 2, 7
2018/1/23, 141, 100, 32, 2, 2, 10
2018/1/24, 143, 79, 34, 2, 3, 12
2018/1/25, 145, 79, 34, 2, 5, 10
2018/1/26, 142, 86, 49, 3, 10, 22
2018/1/27, 144, 85, 37, 3, 4, 8
2018/1/28, 118, 89, 35, 1, 4, 16
2018/1/29, 145, 78, 29, 2, 3, 10
2018/1/30, 137, 98, 22, 2, 4, 15
2018/1/31, 145, 76, 28, 15, 8, 13
2018/2/1, 112, 80, 25, 22, 7, 9
2018/2/2, 143, 91, 29, 12, 8, 10
2018/2/3, 125, 86, 36, , 11, 11
2018/2/4, 129, 82, 26, 4, 10, 10
2018/2/5, 140, 97, 20, 2, 11, 16
2018/2/6, 150, 101, 29, , 12, 15
2018/2/7, 157, 74, 21, 5, 4, 13
2018/2/8, 117, 89, 25, 6, 7, 20
2018/2/9, 123, 89, 16, 3, 6, 11
2018/2/10, 133, 78, 24, 4, 5, 8
2018/2/11, 119, 68, 20, 4, 5, 7
2018/2/12, 106, 105, 16, 5, 5, 16
2018/2/13, 162, 78, 19, 7, 6, 11
2018/2/14, 138, 84, 13, 7, 12, 19
2018/2/15, 149, 68, 27, 8, 5, 6
2018/2/16, 131, , , , , 
2018/2/20, 226, 85, 20, 14, 4, 13
2018/2/21, 161, 80, 17, 13, 4, 9
2018/2/22, 145, 98, 12, 12, 5, 14
2018/2/23, 173, 67, 12, 9, 1, 10
2018/2/24, 137, 94, 13, 11, 12, 9
2018/2/25, 158, 94, 14, , 4, 12
2018/2/26, 164, 140, 4, , 6, 141
2018/2/27, 217, 55, , , 1, 8
2018/2/28, 112, , , , , 
2018/3/12, 166, 113, , 10, 2, 11
2018/3/13, 177, 123, , 10, 14, 31
2018/3/14, 165, 127, , 12, 2, 8
2018/3/15, 166, 105, , 8, 2, 11
2018/3/16, 171, 97, , 8, 4, 15
2018/3/17, 169, 110, , 9, 4, 13
2018/3/18, 175, 103, , 9, 5, 14
2018/3/19, 168, 89, , 7, 3, 9
2018/3/20, 159, 106, , 9, 3, 9
2018/3/21, 168, 77, , 6, 9, 19
2018/3/22, 135, 72, , 14, 6, 9
2018/3/23, 117, 77, , 20, 7, 9
2018/3/24, 137, 88, , 31, 8, 13
2018/3/25, 163, , , , , 
2018/3/28, 151, 77, , 14, 7, 14
2018/3/29, 126, 69, , 13, 5, 11
2018/3/30, 120, 73, , 12, 2, 10
2018/3/31, 128, 84, , 13, 6, 14
2020/5/7, , 50, 23, 3, 2, 4
2019/12/31, , 103, 29, 10, 5, 9
2019/7/10, , 81, 10, 6, 2, 9
2018/12/31, , 162, 23, 25, 7, 14
2018/12/14, , 88, 20, 20, 5, 10
2018/4/9, , 106, , 24, 7, 11
2018/5/8, , 100, , 14, 5, 12
2018/5/14, , 159, , 15, 6, 13
2018/1/20, , 92, 35, 6, 5, 16
2018/2/19, , 138, 1, 12, 5, 48
2018/3/11, , 89, , , , 6
2018/3/27, , 88, , 17, 3, 16
